gate,scenario,label,y_clamped,y_value,ab,probability,valid_for_clamped_y
AND,0,forward A=0 B=0,0,0,00,1.00000000,0
AND,0,forward A=0 B=0,0,0,01,0.00000000,0
AND,0,forward A=0 B=0,0,0,10,0.00000000,0
AND,0,forward A=0 B=0,0,0,11,0.00000000,0
AND,1,forward A=0 B=1,0,0,00,0.00000000,0
AND,1,forward A=0 B=1,0,0,01,1.00000000,0
AND,1,forward A=0 B=1,0,0,10,0.00000000,0
AND,1,forward A=0 B=1,0,0,11,0.00000000,0
AND,2,forward A=1 B=0,0,0,00,0.00000000,0
AND,2,forward A=1 B=0,0,0,01,0.00000000,0
AND,2,forward A=1 B=0,0,0,10,1.00000000,0
AND,2,forward A=1 B=0,0,0,11,0.00000000,0
AND,3,forward A=1 B=1,0,0,00,0.00000000,0
AND,3,forward A=1 B=1,0,0,01,0.00000000,0
AND,3,forward A=1 B=1,0,0,10,0.00000000,0
AND,3,forward A=1 B=1,0,0,11,1.00000000,0
AND,4,reverse Y=0,1,0,00,0.33131061,1
AND,4,reverse Y=0,1,0,01,0.33131061,1
AND,4,reverse Y=0,1,0,10,0.33131061,1
AND,4,reverse Y=0,1,0,11,0.00606817,0
AND,5,reverse Y=1,1,1,00,0.00000593,0
AND,5,reverse Y=1,1,1,01,0.01766832,0
AND,5,reverse Y=1,1,1,10,0.01766832,0
AND,5,reverse Y=1,1,1,11,0.96465744,1
OR,0,forward A=0 B=0,0,0,00,1.00000000,0
OR,0,forward A=0 B=0,0,0,01,0.00000000,0
OR,0,forward A=0 B=0,0,0,10,0.00000000,0
OR,0,forward A=0 B=0,0,0,11,0.00000000,0
OR,1,forward A=0 B=1,0,0,00,0.00000000,0
OR,1,forward A=0 B=1,0,0,01,1.00000000,0
OR,1,forward A=0 B=1,0,0,10,0.00000000,0
OR,1,forward A=0 B=1,0,0,11,0.00000000,0
OR,2,forward A=1 B=0,0,0,00,0.00000000,0
OR,2,forward A=1 B=0,0,0,01,0.00000000,0
OR,2,forward A=1 B=0,0,0,10,1.00000000,0
OR,2,forward A=1 B=0,0,0,11,0.00000000,0
OR,3,forward A=1 B=1,0,0,00,0.00000000,0
OR,3,forward A=1 B=1,0,0,01,0.00000000,0
OR,3,forward A=1 B=1,0,0,10,0.00000000,0
OR,3,forward A=1 B=1,0,0,11,1.00000000,0
OR,4,reverse Y=0,1,0,00,0.96465744,1
OR,4,reverse Y=0,1,0,01,0.01766832,0
OR,4,reverse Y=0,1,0,10,0.01766832,0
OR,4,reverse Y=0,1,0,11,0.00000593,0
OR,5,reverse Y=1,1,1,00,0.00606817,0
OR,5,reverse Y=1,1,1,01,0.33131061,1
OR,5,reverse Y=1,1,1,10,0.33131061,1
OR,5,reverse Y=1,1,1,11,0.33131061,1
NAND,0,forward A=0 B=0,0,0,00,1.00000000,0
NAND,0,forward A=0 B=0,0,0,01,0.00000000,0
NAND,0,forward A=0 B=0,0,0,10,0.00000000,0
NAND,0,forward A=0 B=0,0,0,11,0.00000000,0
NAND,1,forward A=0 B=1,0,0,00,0.00000000,0
NAND,1,forward A=0 B=1,0,0,01,1.00000000,0
NAND,1,forward A=0 B=1,0,0,10,0.00000000,0
NAND,1,forward A=0 B=1,0,0,11,0.00000000,0
NAND,2,forward A=1 B=0,0,0,00,0.00000000,0
NAND,2,forward A=1 B=0,0,0,01,0.00000000,0
NAND,2,forward A=1 B=0,0,0,10,1.00000000,0
NAND,2,forward A=1 B=0,0,0,11,0.00000000,0
NAND,3,forward A=1 B=1,0,0,00,0.00000000,0
NAND,3,forward A=1 B=1,0,0,01,0.00000000,0
NAND,3,forward A=1 B=1,0,0,10,0.00000000,0
NAND,3,forward A=1 B=1,0,0,11,1.00000000,0
NAND,4,reverse Y=0,1,0,00,0.00000593,0
NAND,4,reverse Y=0,1,0,01,0.01766832,0
NAND,4,reverse Y=0,1,0,10,0.01766832,0
NAND,4,reverse Y=0,1,0,11,0.96465744,1
NAND,5,reverse Y=1,1,1,00,0.33131061,1
NAND,5,reverse Y=1,1,1,01,0.33131061,1
NAND,5,reverse Y=1,1,1,10,0.33131061,1
NAND,5,reverse Y=1,1,1,11,0.00606817,0
NOR,0,forward A=0 B=0,0,0,00,1.00000000,0
NOR,0,forward A=0 B=0,0,0,01,0.00000000,0
NOR,0,forward A=0 B=0,0,0,10,0.00000000,0
NOR,0,forward A=0 B=0,0,0,11,0.00000000,0
NOR,1,forward A=0 B=1,0,0,00,0.00000000,0
NOR,1,forward A=0 B=1,0,0,01,1.00000000,0
NOR,1,forward A=0 B=1,0,0,10,0.00000000,0
NOR,1,forward A=0 B=1,0,0,11,0.00000000,0
NOR,2,forward A=1 B=0,0,0,00,0.00000000,0
NOR,2,forward A=1 B=0,0,0,01,0.00000000,0
NOR,2,forward A=1 B=0,0,0,10,1.00000000,0
NOR,2,forward A=1 B=0,0,0,11,0.00000000,0
NOR,3,forward A=1 B=1,0,0,00,0.00000000,0
NOR,3,forward A=1 B=1,0,0,01,0.00000000,0
NOR,3,forward A=1 B=1,0,0,10,0.00000000,0
NOR,3,forward A=1 B=1,0,0,11,1.00000000,0
NOR,4,reverse Y=0,1,0,00,0.00606817,0
NOR,4,reverse Y=0,1,0,01,0.33131061,1
NOR,4,reverse Y=0,1,0,10,0.33131061,1
NOR,4,reverse Y=0,1,0,11,0.33131061,1
NOR,5,reverse Y=1,1,1,00,0.96465744,1
NOR,5,reverse Y=1,1,1,01,0.01766832,0
NOR,5,reverse Y=1,1,1,10,0.01766832,0
NOR,5,reverse Y=1,1,1,11,0.00000593,0
XOR,0,forward A=0 B=0,0,0,00,1.00000000,0
XOR,0,forward A=0 B=0,0,0,01,0.00000000,0
XOR,0,forward A=0 B=0,0,0,10,0.00000000,0
XOR,0,forward A=0 B=0,0,0,11,0.00000000,0
XOR,1,forward A=0 B=1,0,0,00,0.00000000,0
XOR,1,forward A=0 B=1,0,0,01,1.00000000,0
XOR,1,forward A=0 B=1,0,0,10,0.00000000,0
XOR,1,forward A=0 B=1,0,0,11,0.00000000,0
XOR,2,forward A=1 B=0,0,0,00,0.00000000,0
XOR,2,forward A=1 B=0,0,0,01,0.00000000,0
XOR,2,forward A=1 B=0,0,0,10,1.00000000,0
XOR,2,forward A=1 B=0,0,0,11,0.00000000,0
XOR,3,forward A=1 B=1,0,0,00,0.00000000,0
XOR,3,forward A=1 B=1,0,0,01,0.00000000,0
XOR,3,forward A=1 B=1,0,0,10,0.00000000,0
XOR,3,forward A=1 B=1,0,0,11,1.00000000,0
XOR,4,reverse Y=0,1,0,00,0.39352113,1
XOR,4,reverse Y=0,1,0,01,0.10647887,0
XOR,4,reverse Y=0,1,0,10,0.10647887,0
XOR,4,reverse Y=0,1,0,11,0.39352113,1
XOR,5,reverse Y=1,1,1,00,0.05623327,0
XOR,5,reverse Y=1,1,1,01,0.41565011,1
XOR,5,reverse Y=1,1,1,10,0.41565011,1
XOR,5,reverse Y=1,1,1,11,0.11246652,0
XNOR,0,forward A=0 B=0,0,0,00,1.00000000,0
XNOR,0,forward A=0 B=0,0,0,01,0.00000000,0
XNOR,0,forward A=0 B=0,0,0,10,0.00000000,0
XNOR,0,forward A=0 B=0,0,0,11,0.00000000,0
XNOR,1,forward A=0 B=1,0,0,00,0.00000000,0
XNOR,1,forward A=0 B=1,0,0,01,1.00000000,0
XNOR,1,forward A=0 B=1,0,0,10,0.00000000,0
XNOR,1,forward A=0 B=1,0,0,11,0.00000000,0
XNOR,2,forward A=1 B=0,0,0,00,0.00000000,0
XNOR,2,forward A=1 B=0,0,0,01,0.00000000,0
XNOR,2,forward A=1 B=0,0,0,10,1.00000000,0
XNOR,2,forward A=1 B=0,0,0,11,0.00000000,0
XNOR,3,forward A=1 B=1,0,0,00,0.00000000,0
XNOR,3,forward A=1 B=1,0,0,01,0.00000000,0
XNOR,3,forward A=1 B=1,0,0,10,0.00000000,0
XNOR,3,forward A=1 B=1,0,0,11,1.00000000,0
XNOR,4,reverse Y=0,1,0,00,0.05623327,0
XNOR,4,reverse Y=0,1,0,01,0.41565011,1
XNOR,4,reverse Y=0,1,0,10,0.41565011,1
XNOR,4,reverse Y=0,1,0,11,0.11246652,0
XNOR,5,reverse Y=1,1,1,00,0.39352113,1
XNOR,5,reverse Y=1,1,1,01,0.10647887,0
XNOR,5,reverse Y=1,1,1,10,0.10647887,0
XNOR,5,reverse Y=1,1,1,11,0.39352113,1
